leafValue((VF("/Vout") / IF("/I4/PLUS")) "Iin" 0.001) X,leafValue((VF("/Vout") / IF("/I4/PLUS")) "Iin" 0.001) YRe,leafValue((VF("/Vout") / IF("/I4/PLUS")) "Iin" 0.001) YReImag
9.774600356461546,5011.46425103348,-0.001518683452238294
10.00000000000004,5011.464251033479,-0.001553703882363188
10.23059729842512,5011.464251033475,-0.00158953187414576
10.4665121082543,5011.46425103347,-0.00162618604973963
10.70786704986399,5011.464251033469,-0.001663685460720271
10.95478757122336,5011.464251033463,-0.001702049597987461
11.20740201309784,5011.464251033462,-0.00174129840189559
11.46584167575626,5011.464251033457,-0.001781452272618535
11.73024088721618,5011.464251033452,-0.001822532080752424
12.00073707306293,5011.464251033448,-0.001864559178163976
12.27747082787874,5011.464251033445,-0.001907555409087727
12.5605859883189,5011.46425103344,-0.001951543121481001
12.85022970787314,5011.464251033435,-0.0019965451786384
13.14655253335087,5011.464251033429,-0.002042584971076192
13.44970848313029,5011.464251033422,-0.002089686428689646
