Loop Gain Phase X,Loop Gain Phase Y
54.03476503583534,179.9283351544707
55.28079211966514,179.9266825842711
56.55555225142449,179.9249919063749
57.85970800743622,179.923262242038
59.19393724285413,179.9214926922529
60.55893344398875,179.9196823372824
61.95540608875759,179.9178302361807
63.38408101544725,179.9159354263051
64.84570079997914,179.9139969228154
66.34102514187481,179.9120137181619
67.87083125912152,179.9099847815624
69.43591429214335,179.9079090584658
71.03708771708776,179.9057854700048
72.67518376864238,179.9036129124345
74.35105387260194,179.9013902565596
76.06556908840994,179.8991163471466
77.81962056190535,179.8967900023247
79.61411998850942,179.8944100129708
81.4500000870935,179.8919751420811
83.32821508477417,179.8894841241289
85.24974121288751,179.8869356644067
87.21557721440047,179.8843284383532
89.22674486302299,179.8816610908653
91.28428949429073,179.8789322355941
93.38928054889442,179.876140454224
